subjectID	Yhaplotype	Single_copy_depth	DYZ1_depth	DYZ1_norm_coverage	Num_samples
HG02623	E1a	5.73409732102284	1071.07905652491	186.791223894653	1
HG02449	E1a	2.43623344171627	249.830249348666	102.547746480594	1
HG02819	E1a	2.25090160264907	330.36263199318	146.769024289813	1
HG03376	B	2.06121275088274	355.165849921694	172.309165936214	1
HG03225	B	3.03742408672669	989.692348539777	325.832784715397	1
HG02588	B	3.95283585346186	639.543140819237	161.793498270142	1
HG04185	H	2.03811642509282	195.465998660597	95.9052173144107	1
NA21087	H	3.18018488314404	382.3125812858	120.217092821293	1
HG03991	H	2.43385258769475	507.931488295693	208.694434027653	1
HG03812	H	2.37042221556981	321.187841936544	135.498157175065	1
HG03594	H	2.45369248380382	658.303713061858	268.291041932577	1
HG03809	H	2.24020087572118	453.938322602769	202.632865437406	1
